depArr,distance,angle_error,distance_long,operation_mode,angle_sum,QDepDep,QDepArr,QArrDep,QArrArr,NDepDep,NDepArr,NArrDep,NArrArr,Pressure,VisibilityInMeters,TemperatureInCelsius,WindSpeedInMPS,isRain,isSnow,isDrizzle,isFog,isMist,isHaze,isHail,flightNumber,airline,aircraftModel,AvgSpdLast5Dep,AvgSpdLast5Arr,AvgSpdLast5,AvgSpdLast10Dep,AvgSpdLast10Arr,AvgSpdLast10,TaxiTime
1,1708.17796125,0,783.318767816,1,393.42,0,0,0,0,0,0,0,0,30.15,10000.0,9.0,3.6036,0,0,0,0,0,0,0,"AF1068","AFR","A320",139.542917996,420.493047564,167.248772234,135.622563102,349.567578484,148.611567602,3.38333333333
1,808.279522048,0,0,1,334.36,0,0,0,0,0,0,2,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"U21980","EZY","A320",76.8310324636,274.796033842,195.873157826,74.6231435263,299.740545647,250.320086357,1.56666666667
0,1796.41965528,0,1417.43726795,1,450.1,0,1,0,0,0,0,0,0,30.12,10000.0,10.0,4.6332,0,0,0,0,0,0,0,"EK18","UAE","A388",199.628570369,471.242346751,275.060805621,178.882779622,412.165124453,289.646246719,19.5166666667
0,1398.8388521,2,1074.08160752,1,553.58,1,0,0,0,1,0,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"FR4332","RYR","B738",128.317929099,462.638345856,266.52077539,175.223993939,433.291236626,275.442988145,7.05
0,1080.09701713,0,822.871796941,1,551.73,1,0,0,0,1,0,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"KL1084","KLM","B738",116.573810525,462.638345856,191.898696757,177.738170884,433.291236626,286.043617958,9.16666666667
1,2189.87652867,0,0,1,540.76,0,0,2,1,0,0,4,1,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"ZB653","MON","A321",128.354977167,353.087902155,192.544237413,102.593004815,328.927458522,214.271522157,4.11666666667
0,1643.628283,0,1169.95752133,1,481.13,2,1,0,0,2,0,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"U21985","EZY","A319",117.677688226,462.638345856,191.330671446,171.697607162,433.291236626,252.966632514,11.4666666667
0,918.853912342,2,623.358156369,1,500.51,1,1,0,0,1,1,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"FR3218","RYR","B738",122.211844982,439.118837875,213.480411212,164.218412556,429.80594272,202.338150185,9.78333333333
1,516.315732145,0,0,1,231.41,0,0,0,0,0,0,3,0,30.15,10000.0,9.0,3.6036,0,0,0,0,0,0,0,"U22921","EZY","A319",139.542917996,403.944127397,139.542917996,135.622563102,348.361332428,178.158900064,2.18333333333
0,1525.59672668,0,1074.08160752,1,543.48,3,0,0,0,2,0,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"BA1375","BAW","A321",129.11020903,439.118837875,134.477715932,164.3693897,429.80594272,200.499245661,15.1666666667
0,1129.20502035,2,822.871796941,1,551.01,1,0,0,0,2,0,0,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"AF1069","AFR","A320",130.818885345,439.118837875,114.912103274,129.568407222,429.80594272,153.405400015,7.91666666667
0,1268.92963898,0,634.051999021,1,428.46,1,0,0,0,0,0,0,0,30.12,10000.0,10.0,5.148,0,0,0,0,0,0,0,"U22922","EZY","A319",119.662798379,422.848974759,175.911873732,118.118304452,434.054248022,192.012389021,8.56666666667
1,1809.05509019,0,1133.74252001,1,575.6,0,0,0,0,0,0,1,0,30.12,10000.0,10.0,4.6332,0,0,0,0,0,0,0,"FR562","RYR","B738",128.317929099,471.242346751,191.195889158,175.223993939,412.165124453,248.362769519,3.7
1,1121.78738728,0,514.664005883,1,246.62,0,0,2,0,0,0,5,0,30.15,6000.0,9.0,5.148,0,0,1,0,0,0,0,"U21932","EZY","A320",125.935717357,305.688782399,210.221508401,99.175485973,318.277155992,203.047333113,2.56666666667
0,1965.55441741,0,1417.43726795,1,494.33,0,0,0,0,1,0,0,0,30.12,10000.0,10.0,5.148,0,0,0,0,0,0,0,"U21871","EZY","A320",125.721861752,422.848974759,181.760100586,121.699774989,434.054248022,197.620255899,4.48333333333
0,1447.37940886,2,1074.08160752,1,737.86,1,0,0,0,1,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"U21833","EZY","A320",184.736651523,422.848974759,250.658759175,153.474248253,434.054248022,192.568237553,8.36666666667
0,3302.28165648,0,1971.96923773,1,891.38,1,1,0,0,1,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"null","MON","A320",200.551296141,422.848974759,265.13971111,164.830752585,434.054248022,190.025907192,13.1333333333
0,2420.16991345,0,1417.43726795,1,601.08,1,0,0,0,1,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"QR28","QTR","B788",230.722090252,401.579215643,283.199045592,180.770487798,422.964058137,229.555459662,12.6
0,2447.27570584,0,1417.43726795,1,770.86,3,1,0,0,3,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"TOM2216","TOM","B738",159.392035734,401.579215643,205.79756483,172.064343629,422.964058137,235.46863797,15.5333333333
0,1061.56065937,2,756.386081791,1,533.91,2,1,0,0,2,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"FR561","RYR","B738",232.99881823,401.579215643,226.320333355,179.360339991,422.964058137,238.489546265,15.0833333333
0,1478.56896519,0,1074.08160752,1,543.76,1,0,0,0,1,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"BA1399","BAW","A319",240.610200979,401.579215643,291.98962457,180.136499679,422.964058137,236.874862578,13.4333333333
0,2025.19992984,0,1074.08160752,1,730.56,4,3,0,0,4,0,0,0,30.12,10000.0,11.0,3.6036,0,0,0,0,0,0,0,"D86409","NAX","B738",156.303312394,401.579215643,187.018999315,178.427304268,422.964058137,236.959989422,19.7
0,2875.7617821,2,1417.43726795,1,951.33,5,3,0,0,5,1,0,0,30.12,10000.0,10.75,2.574,0,0,0,0,0,0,0,"ZB676","MON","A321",126.575164629,365.262608726,166.148612585,178.648627441,418.252477739,229.069118577,18.2333333333
0,3155.54826133,2,1417.43726795,1,927.79,2,2,0,0,2,1,0,0,30.12,10000.0,10.75,2.574,0,0,0,0,0,0,0,"ZB654","MON","A320",119.7037741,454.384948163,340.778944397,180.15698754,446.751893019,263.898971856,16.35
1,1738.65798608,0,849.617019093,1,474.13,0,0,1,0,0,0,2,0,30.15,10000.0,10.0,5.148,0,0,0,0,0,0,0,"FR3209","RYR","B738",238.902531243,445.259521285,304.231687817,184.11781156,360.027777564,235.740230026,3.4
1,1971.76901808,0,970.629457785,1,544.25,0,0,0,0,0,0,2,0,30.12,10000.0,10.0,3.6036,0,0,0,0,0,0,0,"FR4097","RYR","B738",225.717526099,444.348900631,284.3652009,182.630222047,375.018841515,273.282779173,3.45
0,2166.86912088,6,1331.86688988,1,544.39,1,0,0,0,1,0,0,0,30.12,10000.0,10.25,4.1184,0,0,0,0,0,0,0,"TK1996","THY","A321",211.129366012,473.352340139,330.756746715,165.416570056,415.173390149,342.240853075,11.0666666667
0,1017.35322932,0,634.051999021,1,333.82,0,0,0,0,0,0,0,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"U21951","EZY","A320",136.290319107,426.887034747,387.498170071,184.644568668,414.233125195,281.588676927,3.65
0,1959.62755946,2,949.049037893,1,389.71,0,1,0,0,0,0,0,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"FR3445","RYR","B738",177.959759091,426.887034747,353.724959436,168.675897413,414.233125195,302.423396919,9.35
0,2509.68865266,0,1078.7794131,1,542.35,1,2,0,0,1,0,0,0,30.12,10000.0,10.5,5.6628,0,0,0,0,0,0,0,"EW1345","EWG","A320",188.366938509,426.887034747,274.475028859,172.335125452,414.233125195,307.626986628,13.4666666667
1,651.874832089,0,0,1,363.79,0,0,2,0,0,0,3,0,30.12,10000.0,10.0,5.6628,0,0,0,0,0,0,0,"FR4095","RYR","B738",122.211844982,462.638345856,208.112904311,164.218412556,433.291236626,241.586854966,5.48333333333
